Lunation Number,Date of occurrence,Day of Month,Time of occurrence,Time Difference,Angle of Rays,Eclipse Type 1,Gamma,Magnitude 1,Latitude,Longitude,Eclipse Duration (m)
LN-20911,2023-05,11,08:19:25,7555,55,N,1.3715,0.377,17S,95W,191.78114999999997
LN-20910,2021-06,9,23:06:16,7554,93,N,-1.4661,0.1991,24S,43E,140.4744
LN-20905,2024-11,4,12:37:24,7551,60,N,-1.0526,0.9141,15N,161W,245.05725
LN-20899,2024-04,30,09:49:20,7546,65,P,0.5974,1.7859,14S,117W,348.49995
LN-20893,2020-10,25,01:59:52,7541,70,T,-0.3976,2.1369,12N,2W,340.9335
LN-20887,2021-04,19,17:28:26,7536,75,T-,-0.1896,2.508,11S,129E,349.12185
LN-20881,2025-10,14,09:00:15,7532,80,T,0.3188,2.3088,8N,107W,370.78470000000004
LN-20875,2023-04,8,07:38:25,7527,85,P,-0.9128,1.1602,8S,83W,268.27485
LN-20869,2023-10,2,09:34:39,7522,90,Nx,1.0348,1.0077,5N,115W,296.67494999999997
LN-20864,2023-02,27,15:46:26,7518,57,P,0.9693,1.0669,9N,159E,263.8179
LN-20858,2020-08,22,19:32:44,7514,62,N,-1.1438,0.7761,13S,99E,250.34339999999997
LN-20852,2024-02,17,03:36:44,7509,67,T,0.2761,2.3669,12N,19W,356.06640000000004
LN-20846,2024-08,12,06:22:48,7504,72,T,-0.3552,2.1942,16S,64W,332.12325
LN-20840,2023-02,6,08:06:11,7500,77,P,-0.4553,2.065,15N,86W,369.5409000000001
LN-20834,2021-08,1,22:22:27,7495,82,T,0.3765,2.1402,18S,56E,319.16700000000003
LN-20828,2021-01,26,07:35:14,7490,87,N,-1.1524,0.7922,18N,79W,268.1712
LN-20823,2021-06,22,06:47:58,7486,54,N,-1.4545,0.1788,25S,71W,120.5736
LN-20822,2021-07,21,15:02:38,7486,92,N,1.1136,0.7949,20S,166E,233.3448
LN-20817,2023-12,15,18:37:07,7482,59,N,1.0934,0.8679,25N,112E,256.45875
LN-20811,2023-06,11,16:20:48,7477,64,P,-0.7458,1.5065,24S,145E,326.4225
LN-20805,2024-12,5,06:49:18,7472,69,T,0.3718,2.1674,23N,73W,326.52615000000003
LN-20799,2024-05,31,18:59:58,7467,74,T+,0.016,2.8628,22S,105E,387.67965000000004
LN-20793,2020-11,24,22:22:06,7463,79,T,-0.2947,2.3036,21N,53E,325.90425000000005
LN-20787,2022-05,20,19:54:21,7458,84,P,0.7744,1.4643,19S,91E,331.605
LN-20781,2020-11,14,12:36:16,7453,89,P,-0.9934,1.0387,18N,161W,267.5493
LN-20776,2025-04,9,16:20:28,7449,56,N,-1.1532,0.7333,9S,146E,231.16814999999997
LN-20775,2023-05,9,02:06:07,7449,94,N,1.4856,0.1345,16S,2W,108.23925
LN-20770,2025-10,4,04:32:57,7445,61,N,1.1776,0.7382,6N,40W,256.25145
LN-20764,2020-03,30,07:38:17,7440,66,T,-0.3959,2.1068,4S,83W,319.06335
LN-20758,2021-09,23,04:19:55,7435,71,P,0.4898,2.0054,0N,36W,371.51025000000004
LN-20752,2023-03,20,00:19:18,7431,76,T,0.3203,2.2511,1N,28E,326.73345
LN-20746,2022-09,12,06:08:06,7426,81,T-,-0.2373,2.4489,5S,62W,368.60805
LN-20740,2020-03,9,13:43:57,7421,86,N,1.0838,0.875,5N,172W,255.42224999999996
LN-20734,2024-09,1,15:07:36,7416,91,P,-0.9461,1.1182,9S,164E,275.11575000000005
LN-20729,2020-01,28,03:03:12,7413,58,N,-1.0686,0.945,17N,11W,288.072
LN-20723,2020-07,22,22:36:23,7408,63,P,0.9244,1.1340000000000001,19S,52E,263.4033
LN-20717,2020-01,16,02:20:38,7403,68,T,-0.3796,2.2076,21N,1W,376.27815000000004
LN-20711,2021-07,12,14:40:46,7398,73,T+,0.2043,2.4686,22S,171E,338.23859999999996
LN-20705,2020-01,5,06:02:03,7394,78,T,0.3282,2.278,23N,57W,356.2737
LN-20699,2024-07,2,01:39:34,7389,83,P,-0.5829,1.8002,24S,6E,339.4824
LN-20693,2020-12,25,16:55:15,7384,88,P,0.9904,1.0365,25N,138E,262.26315
LN-20688,2025-05,22,14:42:20,7380,55,N,1.4554,0.2223,19S,169E,149.28465
LN-20687,2021-06,21,05:30:30,7380,93,N,-1.3836,0.3516,25S,53W,184.422
LN-20682,2021-11,15,21:23:53,7376,60,N,-1.0597,0.9024,18N,67E,244.22804999999997
LN-20676,2020-05,10,16:29:40,7371,65,P,0.6762,1.6391,17S,142E,338.6532
LN-20670,2025-11,4,10:26:55,7366,70,T,-0.4083,2.1198,16N,129W,341.86635
LN-20664,2023-04,30,00:42:02,7361,75,T-,-0.11900000000000001,2.6349,15S,19E,349.01820000000004
LN-20658,2022-10,24,16:57:19,7357,80,T,0.302,2.3423,12N,133E,373.16865
LN-20652,2024-04,19,15:16:16,7352,85,P,-0.8498,1.2739,12S,161E,276.8778
LN-20646,2025-10,13,17:11:45,7347,90,Nx,1.0093,1.056,9N,129E,302.47934999999995
LN-20641,2025-03,10,23:48:46,7343,57,P,1.011,0.9902,5N,37E,256.7697
LN-20635,2025-09,3,03:01:45,7339,62,N,-1.1882,0.6945,9S,15W,237.9054
LN-20629,2022-02,28,11:26:32,7334,67,T,0.3121,2.3008,8N,137W,355.54815
LN-20623,2021-08,22,14:07:55,7329,72,T,-0.4061,2.1009,12S,179E,328.39185
LN-20617,2020-02,16,15:40:44,7324,77,T,-0.4241,2.1215,12N,159E,372.23580000000004
LN-20611,2023-08,12,06:09:39,7320,82,T,0.3193,2.2463,15S,61W,322.0692
LN-20605,2020-02,5,15:15:09,7315,87,N,-1.1273,0.8361,15N,166E,273.7683
LN-20600,2020-07,3,13:58:40,7311,54,Ne,-1.5312,0.0402,25S,179W,58.072649999999996
LN-20599,2021-08,1,22:35:06,7310,92,N,1.0539,0.9067,17S,52E,247.13025
LN-20594,2021-12,27,03:09:05,7306,59,N,1.093,0.8668,25N,15W,255.3186
LN-20588,2025-06,22,23:01:25,7302,64,P,-0.8303,1.3534,24S,45E,316.2648
LN-20582,2024-12,16,15:39:41,7297,69,T,0.3722,2.1658,24N,156E,325.8006
LN-20576,2023-06,11,01:19:49,7292,74,T-,-0.0732,2.758,23S,9E,387.576
LN-20570,2021-12,5,07:14:42,7287,79,T,-0.2934,2.3065,22N,80W,326.2152
LN-20564,2023-05,31,02:25:45,7283,84,P,0.6889,1.6198,21S,8W,341.24445000000003
LN-20558,2020-11,24,21:14:46,7278,89,P,-0.993,1.0414,20N,69E,268.7931
LN-20553,2025-04,20,23:46:47,7274,56,N,-1.2109999999999999,0.6245,13S,33E,214.68779999999998
LN-20552,2021-05,20,09:07:53,7273,94,N,1.4078,0.2749,19S,108W,152.0832
LN-20547,2025-10,15,12:17:29,7269,61,N,1.2024,0.6952,10N,158W,250.5507
LN-20541,2025-04,10,15:24:31,7265,66,T,-0.452,2.0022,8S,159E,315.12465000000003
LN-20535,2023-10,4,11:49:32,7260,71,P,0.5214,1.9487,5N,150W,368.919
LN-20529,2022-03,30,08:09:22,7255,76,T+,0.2695,2.3438,4S,91W,329.42835
LN-20523,2021-09,22,13:48:44,7250,81,T-,-0.2015,2.5147,0S,179W,368.81534999999997
LN-20517,2020-03,19,21:22:21,7246,86,N,1.0408,0.9540000000000001,1N,72E,265.37265
LN-20511,2022-09,11,23:04:32,7241,91,P,-0.9051,1.1935,5S,43E,281.12745
LN-20506,2023-02,7,10:41:18,7237,58,N,-1.095,0.8957,14N,126W,281.95665
LN-20500,2021-08,3,06:17:24,7232,63,P,0.9852,1.0238,17S,64W,253.55655
LN-20494,2020-01,27,10:10:21,7227,68,T,-0.3973,2.1729,18N,118W,373.99784999999997
LN-20488,2024-07,23,22:03:33,7223,73,T,0.2729,2.3452,20S,60E,337.4094
LN-20482,2024-01,16,14:20:47,7218,78,T,0.3178,2.2946,21N,178E,355.13355
LN-20476,2021-07,12,08:30:50,7213,83,P,-0.5072,1.9417,23S,97W,347.7744
LN-20470,2024-01,5,01:38:25,7209,88,P,0.9835,1.0473,24N,8E,262.5741
LN-20465,2023-06,1,21:03:03,7205,55,Ne,1.5406,0.0656,21S,73E,82.22309999999999
LN-20464,2023-07,1,11:55:58,7204,93,N,-1.3016,0.5033,25S,149W,218.00459999999998
LN-20459,2020-11,26,06:13:23,7200,60,N,-1.0644,0.8951,20N,65W,243.9171
LN-20453,2024-05,21,23:10:10,7195,65,P,0.7555,1.4915,20S,41E,327.459
LN-20447,2022-11,15,18:58:00,7190,70,T,-0.4148,2.1101,19N,103E,342.90284999999994
LN-20441,2021-05,11,07:53:39,7186,75,T-,-0.0456,2.7671,18S,90W,348.18899999999996
LN-20435,2025-11,5,00:59:39,7181,80,T,0.2899,2.3668,16N,11E,375.13800000000003
LN-20429,2023-04,29,22:50:04,7176,85,P,-0.7829999999999999,1.3948,16S,46E,285.1698
LN-20423,2022-10,24,00:56:02,7171,90,Nx,0.9890000000000001,1.0946,13N,12E,306.83265000000006
LN-20418,2023-03,21,07:42:07,7167,57,N,1.0597,0.9005,1N,83W,247.8558
LN-20417,2024-04,19,15:55:44,7167,95,N,-1.4957,0.0884,13S,150E,82.11945
LN-20412,2021-09,13,10:42:02,7163,62,N,-1.2247,0.6274,5S,131W,226.9185
LN-20406,2021-03,10,19:06:45,7158,67,T,0.3554,2.2213,4N,106E,354.51165000000003
LN-20400,2025-09,2,22:01:41,7153,72,T,-0.4507,2.0192,8S,59E,324.7641
LN-20394,2024-02,27,23:05:34,7148,77,T,-0.3851,2.1922,8N,47E,375.24165000000005
LN-20388,2024-08,23,14:03:56,7144,82,T+,0.2677,2.3422,11S,179E,324.34950000000003
LN-20382,2023-02,16,22:45:16,7139,87,N,-1.0938,0.8953,11N,52E,281.0238
LN-20376,2025-08,12,06:13:36,7134,92,P,0.9996,1.0090000000000001,14S,63W,258.84270000000004
LN-20371,2023-01,6,11:37:48,7130,59,N,1.0961,0.8586,24N,142W,253.2456
LN-20365,2020-07,3,05:43:02,7125,64,P,-0.9128,1.2041,24S,56W,304.55234999999993
LN-20359,2022-12,27,00:27:46,7121,69,T,0.3751,2.1592,24N,24E,324.9714
LN-20353,2023-06,22,07:41:06,7116,74,T-,-0.1613,2.5969,24S,86W,386.33220000000006
LN-20347,2020-12,16,16:07:47,7111,79,T,-0.2924,2.3087,23N,148E,326.6298
LN-20341,2023-06,11,08:56:17,7106,84,P,0.6013,1.7792,23S,106W,349.64009999999996
LN-20335,2024-12,6,05:55:51,7102,89,P,-0.9951,1.0390000000000001,22N,61W,269.41499999999996
LN-20330,2023-05,1,07:07:42,7098,56,N,-1.2742,0.5061,16S,79W,194.78699999999998
LN-20329,2021-05,30,16:07:42,7097,94,N,1.3268,0.4216,21S,146E,184.94025
LN-20324,2023-10,25,20:09:25,7093,61,N,1.2205,0.6642,14N,83E,246.30104999999998
LN-20318,2021-04,20,23:04:20,7088,66,P,-0.5138,1.8874,12S,43E,310.35675000000003
LN-20312,2023-10,14,19:29:06,7084,71,P,0.5453,1.9059,9N,94E,366.74235
LN-20306,2023-04,10,15:52:56,7079,76,T+,0.2138,2.4458,8S,151E,331.91595000000007
LN-20300,2021-10,3,21:38:14,7074,81,T-,-0.172,2.5689,4N,62E,368.50440000000003
LN-20294,2025-03,31,04:53:11,7069,86,P,0.9923,1.0432,3S,43W,275.8413
LN-20288,2024-09,23,07:09:36,7064,91,P,-0.8701,1.2579,1S,80W,285.68805
LN-20283,2020-02,18,18:10:48,7060,58,N,-1.1281,0.8338,11N,121E,273.7683
LN-20277,2021-08,13,14:04:29,7056,63,N,1.0409,0.9232,14S,179E,243.70979999999997
LN-20276,2021-09,11,22:17:15,7055,101,N,-1.5179,0.0515,6S,54E,62.633250000000004
LN-20271,2025-02,6,17:53:12,7051,68,T,-0.4212,2.1266,15N,125E,371.09565000000003
LN-20265,2024-08,3,05:31:47,7046,73,T,0.3363,2.2315,17S,53W,336.1656
LN-20259,2024-01,26,22:33:23,7041,78,T,0.3014,2.3218,19N,55E,354.2007
LN-20253,2024-07,23,15:27:04,7037,83,T,-0.4363,2.0746,21S,158E,354.82259999999997
LN-20247,2023-01,16,10:17:04,7032,88,P,0.9727,1.0651,22N,121W,263.50695
LN-20241,2023-07,12,18:24:05,7027,93,N,-1.2215,0.6517,23S,114E,245.05725
LN-20236,2024-12,7,15:03:53,7023,60,N,-1.068,0.8893,22N,162E,243.70979999999997
LN-20230,2025-06,1,05:49:18,7018,65,P,0.8362,1.3415,21S,59W,314.71005
LN-20224,2021-11,26,03:31:03,7014,70,T,-0.4192,2.1041,21N,26W,344.043
LN-20218,2024-05,21,15:02:52,7009,75,T+,0.0306,2.7924,20S,162E,346.63425
LN-20212,2020-11,15,09:06:45,7004,80,T,0.2825,2.3823,19N,111W,376.79640000000006
LN-20206,2025-05,11,06:19:37,6999,85,P,-0.7122,1.5234,19S,68W,292.94354999999996
LN-20200,2024-11,4,08:47:09,6995,90,P,0.9740000000000001,1.123,17N,107W,309.9421500000001
LN-20195,2023-04,1,15:26:47,6991,57,N,1.1151,0.7989,4S,159E,236.55795
LN-20194,2020-04,30,23:29:00,6990,95,N,-1.4341,0.2013,16S,35E,122.85389999999998
LN-20189,2020-09,24,18:32:06,6986,62,N,-1.2542,0.5733,0S,110E,217.3827
LN-20183,2025-03,21,02:35:36,6981,67,T,0.4073,2.1262,0S,8W,352.64595
LN-20177,2021-09,13,06:04:43,6976,72,P,-0.4882,1.9507,4S,63W,321.4473
LN-20171,2021-03,10,06:20:35,6972,77,T,-0.3386,2.2767,4N,63W,378.2475
LN-20165,2020-09,2,22:05:42,6967,82,T+,0.2226,2.4265,8S,57E,326.2152
LN-20159,2025-02,27,06:08:40,6962,87,N,-1.0544,0.9653,7N,60W,288.9012
LN-20153,2021-08,23,13:58:02,6957,92,P,0.9507,1.1014,11S,179E,268.68945
LN-20148,2025-01,17,20:04:09,6953,59,N,1.102,0.8454,22N,92E,250.65435
LN-20142,2021-07,14,12:25:32,6949,64,P,-0.9935,1.0583,23S,157W,291.1815
LN-20136,2024-01,7,09:14:17,6944,69,T,0.3798,2.1492,23N,107W,323.9349
LN-20130,2024-07,2,14:04:31,6939,74,T-,-0.2478,2.439,23S,178E,383.74095
LN-20124,2024-12,27,00:58:10,6934,79,T,-0.2893,2.3144,23N,16E,327.14805
LN-20118,2024-06,21,15:31:05,6930,84,P,0.5162,1.9343,23S,156E,356.17004999999995
LN-20112,2024-12,16,14:35:11,6925,89,P,-0.9961,1.0384,23N,170E,270.24420000000003
LN-20107,2022-05,12,14:27:24,6921,56,N,-1.3388,0.3854,20S,170E,171.25845
LN-20106,2025-06,10,23:10:19,6920,94,N,1.2468,0.5666,22S,40E,210.54179999999997
LN-20101,2021-11,6,04:05:36,6916,61,N,1.2348,0.6398,17N,36W,242.98425
LN-20095,2023-05,2,06:39:57,6911,66,P,-0.5794,1.7659,16S,73W,304.656
LN-20089,2025-10,26,03:16:29,6906,71,P,0.563,1.8742,13N,24W,364.9803
LN-20083,2020-04,20,23:27:30,6902,76,T+,0.151,2.5610000000000004,12S,36E,334.2999
LN-20077,2022-10,14,05:38:29,6897,81,T-,-0.1505,2.6081,8N,59W,367.98615
LN-20071,2025-04,10,12:13:33,6892,86,P,0.9359999999999999,1.1469,7S,154W,287.0355
LN-20065,2024-10,3,15:24:57,6887,91,P,-0.8428,1.308,4N,155E,288.9012
LN-20060,2024-03,1,01:30:03,6883,58,N,-1.169,0.7574,6N,9E,262.9887
LN-20054,2025-08,24,21:59:16,6879,63,N,1.0902,0.8346,10S,59E,234.27765
LN-20053,2021-09,23,06:34:46,6878,101,N,-1.4867,0.1099,1S,71W,91.03335000000001
LN-20048,2025-02,18,01:28:50,6874,68,P,-0.4515,2.0683,11N,10E,367.57155
LN-20042,2023-08,14,13:04:11,6869,73,T,0.3954,2.1259,14S,167W,334.61085
LN-20036,2021-02,7,06:41:29,6864,78,T,0.2806,2.3569,16N,67W,353.37149999999997
LN-20030,2021-08,2,22:26:39,6859,83,T,-0.3691,2.2008,18S,53E,360.8343
LN-20024,2022-01,26,18:50:52,6855,88,P,0.9577,1.0905,19N,110E,265.16535
LN-20018,2021-07,23,00:56:52,6850,93,N,-1.1451,0.7935,21S,15E,267.03105
LN-20013,2025-12,17,23:54:43,6846,60,N,-1.071,0.8846,23N,30E,243.70979999999997
LN-20007,2022-06,12,12:30:29,6841,65,P,0.9159999999999999,1.1934,22S,160W,300.61365
LN-20001,2024-12,7,12:04:55,6836,70,T,-0.4221,2.1003,23N,154W,345.28679999999997
LN-19995,2020-06,1,22:12:39,6832,75,T+,0.1073,2.6499,22S,54E,344.35395000000005
LN-19989,2023-11,26,17:15:55,6827,80,T,0.27699999999999997,2.394,22N,127E,378.14385
LN-19983,2022-05,21,13:46:34,6822,85,P,-0.6387,1.6573,21S,180E,299.99175
LN-19977,2021-11,14,16:43:27,6817,90,P,0.9629,1.1441,20N,134E,312.11879999999996
LN-19972,2022-04,11,23:03:56,6813,57,N,1.176,0.6872,8S,43E,222.46155
LN-19971,2023-05,11,06:58:30,6812,95,N,-1.3696,0.3199,19S,78W,153.43064999999999
LN-19966,2021-10,5,02:31:49,6808,62,N,-1.2768,0.5317,4N,12W,209.50529999999998
LN-19960,2021-04,1,09:55:38,6804,67,P,0.4656,2.0195,4S,119W,349.95105
LN-19954,2024-09,24,14:17:03,6799,72,P,-0.5186,1.8954,0N,172E,318.5451
LN-19948,2022-03,21,13:25:12,6794,77,T,-0.2838,2.3763,1S,171W,381.25334999999995
LN-19942,2024-09,14,06:15:23,6789,82,T+,0.184,2.4989,3S,67W,327.6663
LN-19936,2023-03,9,13:22:21,6785,87,Nx,-1.0063,1.0509,3N,170W,298.02240000000006
LN-19930,2022-09,2,21:50:16,6780,92,P,0.9085,1.1817,7S,60E,276.98145
LN-19925,2022-01,28,04:23:33,6776,59,N,1.1144,0.8198,19N,33W,246.4047
LN-19919,2021-07,24,19:12:39,6771,64,N,-1.0696,0.9212,21S,101E,276.77415
LN-19913,2022-01,17,17:56:15,6766,69,T,0.3891,2.1305,21N,123E,322.6911
LN-19907,2022-07,13,20:31:14,6761,74,T,-0.3315,2.2861,22S,81E,380.1132
LN-19901,2020-01,7,09:46:04,6757,79,T,-0.2842,2.3237,22N,116W,327.76995
LN-19895,2021-07,2,22:08:30,6752,84,T,0.4318,2.0883,23S,56E,361.45619999999997
LN-19889,2020-12,27,23:13:03,6747,89,P,-0.9968,1.0382,22N,41E,271.17705
LN-19884,2024-05,22,21:43:32,6743,56,N,-1.4069,0.2586,22S,60E,141.40725
LN-19883,2024-06,21,06:13:49,6742,94,N,1.1661,0.7131,23S,66W,231.79004999999998
LN-19878,2024-11,16,12:07:33,6738,61,N,1.244,0.6245,20N,157W,240.91125
LN-19872,2020-05,12,14:11:45,6734,66,P,-0.6484,1.6386,19S,173E,298.02240000000006
LN-19866,2023-11,5,11:10:42,6729,71,P,0.5755,1.8517,17N,143W,363.5292
LN-19860,2021-05,2,06:57:39,6724,76,T+,0.085,2.6825,15S,78W,336.26925
LN-19854,2025-10,25,13:47:02,6719,81,T-,-0.1349,2.6365,12N,178E,367.15695000000005
LN-19848,2021-04,21,19:26:17,6714,86,P,0.8742,1.2608,11S,96E,298.33335
LN-19842,2025-10,14,23:48:01,6710,91,P,-0.8213,1.3475,8N,28E,291.1815
LN-19837,2022-03,11,08:40:35,6706,58,N,-1.2165,0.6686,2N,100W,249.20324999999997
LN-19831,2020-09,4,06:01:12,6701,63,N,1.1333,0.7573,6S,63W,225.2601
LN-19830,2023-10,3,14:59:50,6700,101,N,-1.4618,0.1567,3N,161E,108.23925
LN-19825,2024-02,28,08:56:09,6696,68,P,-0.4891,1.9965,7N,103W,363.3219
LN-19819,2024-08,24,20:43:52,6691,73,T,0.4476,2.0332,11S,77E,332.95245
LN-19813,2025-02,17,14:42:35,6686,78,T+,0.2533,2.4039,12N,171E,352.64595
LN-19807,2025-08,14,05:31:29,6682,83,T,-0.3069,2.3178,15S,54W,365.91315000000003
LN-19801,2021-02,7,03:18:16,6677,88,P,0.9372,1.1259,16N,17W,267.65295000000003
LN-19795,2025-08,3,07:35:32,6672,93,N,-1.0732,0.9271,19S,85W,285.1698
LN-19790,2023-12,29,08:42:19,6668,60,N,-1.0766,0.8746,22N,101W,243.0879
LN-19784,2023-06,22,19:13:43,6663,65,P,0.9949,1.0474,23S,99E,284.9625
LN-19778,2025-12,17,20:37:21,6658,70,T,-0.4257,2.0951,23N,79E,346.3233
LN-19772,2022-06,12,05:23:31,6654,75,T+,0.184,2.5076,23S,54W,341.3481
LN-19766,2022-12,7,01:25:34,6649,80,T,0.2725,2.4035,23N,5E,379.38765
LN-19760,2021-06,1,21:12:31,6644,85,P,-0.564,1.7936,23S,68E,306.31440000000003
LN-19754,2021-11,26,00:44:37,6639,90,P,0.9555,1.1578,22N,14E,313.46625
LN-19749,2020-04,23,06:32:23,6635,57,N,1.2433,0.564,11S,71W,204.63375
LN-19748,2020-05,22,14:22:19,6634,95,N,-1.3008,0.4464,22S,170E,179.55045
LN-19743,2022-10,16,10:41:10,6630,62,N,-1.2926,0.5025,8N,135W,203.59725
LN-19737,2025-04,11,17:05:42,6626,67,P,0.531,1.8997,8S,131E,346.01234999999997
LN-19731,2021-10,4,22:38:21,6621,72,P,-0.5422,1.8523,5N,46E,316.0575
LN-19725,2020-03,31,20:20:38,6616,77,T-,-0.2216,2.4895,5S,83E,383.94825000000003
LN-19719,2020-09,24,14:33:21,6611,82,T+,0.1523,2.5586,1N,167E,328.80645000000004
LN-19713,2021-03,20,20:29:58,6607,87,P,-0.9525,1.1471,1S,82E,307.24725
LN-19707,2025-09,14,05:48:01,6602,92,P,0.8713,1.2527,3S,61W,284.02965000000006
LN-19702,2020-02,8,12:38:57,6598,59,N,1.131,0.7864,16N,157W,241.11854999999997
LN-19696,2021-08,5,02:03:47,6593,64,N,-1.1417,0.7917,18S,2W,260.9157
LN-19690,2021-01,29,02:32:45,6588,69,T,0.4032,2.1029,18N,6W,321.24
LN-19684,2020-07,24,03:03:41,6583,74,T,-0.4106,2.1421,20S,17W,375.65625
LN-19678,2023-01,17,18:28:20,6579,79,T,-0.2746,2.3409999999999997,20N,114E,328.4955
LN-19672,2020-07,13,04:53:15,6574,84,T,0.3525,2.233,22S,45W,365.08395
LN-19666,2024-01,7,07:45:13,6569,89,P,-0.9934,1.0452,21N,87W,272.7318
LN-19661,2022-06,3,05:01:28,6565,56,N,-1.4742,0.1336,24S,49W,102.43485000000001
LN-19660,2024-07,2,13:23:17,6564,94,N,1.089,0.8533,22S,174W,248.99595
LN-19655,2023-11,27,20:11:18,6560,61,N,1.2516,0.6118,23N,82E,239.25285
LN-19649,2025-05,23,21:39:55,6555,66,P,-0.7205,1.5056,22S,61E,290.24865
LN-19643,2022-11,16,19:10:51,6551,71,P,0.5835,1.837,20N,96E,362.28540000000004
LN-19637,2025-05,12,14:21:02,6546,76,T+,0.0135,2.8142,18S,170E,337.72034999999994
LN-19631,2022-11,4,22:03:21,6541,81,T-,-0.1249,2.6543,16N,53E,366.12045
LN-19625,2024-05,2,02:30:17,6536,86,P,0.8058,1.3871,15S,11W,309.63120000000004
LN-19619,2024-10,25,08:19:57,6531,91,P,-0.8063,1.3749,12N,101W,292.4253
LN-19614,2022-03,22,15:41:20,6527,58,N,-1.2715,0.5664,2S,153E,231.58274999999998
LN-19608,2020-09,15,14:10:10,6523,63,N,1.1706,0.691,2S,173E,217.07175
LN-19607,2022-10,14,23:32:16,6522,101,N,-1.4429,0.1927,7N,31E,119.64075
LN-19602,2023-03,11,16:16:10,6518,68,P,-0.5332,1.9126,3N,146E,358.03575
LN-19596,2020-09,5,04:29:29,6513,73,P,0.4939,1.9513,6S,41W,331.29404999999997
LN-19590,2025-02,28,22:36:15,6508,78,T+,0.21899999999999997,2.4637,8N,52E,352.02405
LN-19584,2025-08,24,12:42:36,6503,83,T-,-0.2507,2.4241,11S,163W,370.05915000000005
LN-19578,2025-02,17,11:39:28,6499,88,P,0.9112,1.1712,12N,143W,270.86609999999996
LN-19572,2024-08,13,14:21:02,6494,93,Nx,-1.0065,1.0513,16S,173E,300.19905
LN-19567,2021-01,8,17:26:39,6490,60,N,-1.0848,0.8598,21N,128E,241.8441
LN-19561,2025-07,4,02:02:17,6485,65,N,1.07,0.9083,22S,3W,268.27485
LN-19555,2020-12,29,05:07:46,6480,70,T,-0.4302,2.0879,23N,48W,347.25615000000005
LN-19549,2024-06,23,12:36:11,6475,75,T+,0.26,2.3669,23S,162W,337.61670000000004
LN-19543,2023-12,18,09:34:45,6471,80,T+,0.2681,2.4124,24N,117W,380.52779999999996
LN-19537,2021-06,12,04:38:37,6466,85,P,-0.4894,1.9302,24S,44W,311.80785
LN-19531,2025-12,6,08:46:28,6461,90,P,0.9486,1.1704,24N,106W,314.50275
LN-19526,2025-05,3,13:55:13,6457,57,N,1.3143,0.4343,15S,177E,182.45265
LN-19525,2025-06,1,21:45:05,6456,95,N,-1.2316,0.5743,24S,59E,201.6279
LN-19520,2021-10,26,18:58:40,6452,62,N,-1.3024,0.4841,12N,99E,199.55489999999998
LN-19514,2023-04,23,00:08:11,6447,67,P,0.6018,1.7703,12S,24E,340.7262
LN-19508,2023-10,16,07:06:52,6443,72,P,-0.5604,1.8191,9N,83W,313.9845
LN-19502,2023-04,12,03:07:14,6438,77,T-,-0.1525,2.6154,9S,20W,386.1249
LN-19496,2020-10,5,22:59:03,6433,82,T+,0.1272,2.6064,5N,39E,329.73929999999996
LN-19490,2023-03,31,03:27:25,6428,87,P,-0.8896,1.2599,5S,25W,316.99035
LN-19484,2025-09,24,13:54:44,6423,92,P,0.8422,1.3091,2N,176E,289.73040000000003
LN-19479,2023-02,18,20:46:11,6419,59,N,1.155,0.7395,12N,80E,233.9667
LN-19473,2024-08,15,09:01:38,6415,64,N,-1.2071,0.6744,15S,108W,244.539
LN-19467,2024-02,8,11:02:26,6410,69,T,0.4233,2.0642,15N,134W,319.27065000000005
LN-19461,2024-08,4,09:42:58,6405,74,P,-0.484,2.0085,18S,118W,370.3701
LN-19455,2023-01,29,03:05:30,6400,79,T-,-0.2611,2.3653,18N,16W,329.42835
LN-19449,2022-07,24,11:42:43,6395,84,T,0.2761,2.3729,20S,148W,367.6752
LN-19443,2021-01,18,16:13:16,6390,89,P,-0.9874,1.0567,20N,147E,274.8048
LN-19438,2023-06,13,12:18:43,6387,56,Ne,-1.5427,0.0066,25S,159W,22.935299999999998
LN-19437,2020-07,12,20:36:32,6386,94,P,1.0138,0.9904,21S,78E,263.50695
LN-19432,2024-12,8,04:16:29,6382,61,N,1.2575,0.6018,24N,38W,237.9054
LN-19426,2021-06,3,05:07:01,6377,66,P,-0.7936,1.3714,23S,52W,281.4384
LN-19420,2021-11,27,03:15:32,6372,71,P,0.5886,1.8275,22N,25W,361.24890000000005
LN-19414,2025-05,23,21:41:13,6367,76,T-,-0.0599,2.7298,21S,60E,338.54955
LN-19408,2021-11,16,06:24:52,6363,81,T-,-0.1184,2.6655,19N,73W,364.9803
LN-19402,2024-05,13,09:29:00,6358,86,P,0.7338,1.5202,18S,117W,320.4108
LN-19396,2024-11,5,16:57:27,6353,91,P,-0.7958,1.3940000000000001,15N,129E,293.0472
LN-19391,2020-04,1,22:33:01,6349,58,N,-1.3330000000000002,0.452,6S,49E,208.98704999999998
LN-19390,2025-05,1,14:00:49,6348,96,Nb,1.5387,0.0671,14S,175E,82.43039999999999
LN-19385,2023-09,25,22:27:10,6344,63,N,1.2009999999999998,0.6373,3N,47E,210.02355
LN-19384,2023-10,25,08:11:22,6343,101,N,-1.4296,0.2182,11N,100W,127.10355
LN-19379,2022-03,21,23:28:42,6339,68,P,-0.5839,1.8166,1S,36E,351.81675
